id,name,position,organization,created_at
95415251-09dd-47dc-8ca7-6e13c1676055,Marcos Vargas Oyarzún,Alcalde,Municipalidad de Queilén,2026-04-28 00:03:28.495428+00
96b668b0-3ca6-4aa6-a68d-55339f2c2f21,Freddy Gallardo Pacheco,Consejero Regional Prov. Chiloé,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
9748a0a1-0774-4c2a-b67a-39cf2c32a028,Lorena Leichtle Bertín,Seremi de Medio Ambiente,Seremi de Medio Ambiente,2026-04-28 00:03:28.495428+00
99f80dcb-020e-49f6-bd23-84902aa226ee,Jorge Toso Canepa,Comandante en Jefe de la Quinta Zona Naval,Armada de Chile,2026-04-28 00:03:28.495428+00
9e1cfb5f-1c14-476b-8a01-9232c48cf27e,Luis Hernández Soto,Consejero Regional Prov. Llanquihue,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
9ea9e782-4b91-41f6-bb85-8cae1cb97bca,Rodrigo Arismendi Valenzuela,Consejero Regional Prov. Llanquihue,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
a242007e-f08a-442c-a493-3f19e009deeb,Adolfo Alvial,Presidente,Club de Innovación Acuícola,2026-04-28 00:03:28.495428+00
a4fbf76d-ff5e-4686-b2c6-99755def7e83,Nicolás Pacheco,Secretario Ejecutivo Plan Innova Puerto Montt,Municipalidad de Puerto Montt,2026-04-28 00:03:28.495428+00
a84bc4b8-600a-4d60-8dde-72f3bb1cea72,General Jorge Valdivia Correa,Jefe de Zona Los Lagos,Carabineros de Chile,2026-04-28 00:03:28.495428+00
af5169b9-e260-439b-b53f-3aaf8112b06d,Francisco Reyes Castro,Consejero Regional Prov. Osorno,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
b38074a7-8dc4-4cbb-9bd2-1d267b82a835,Francisco Javier Donoso Oyarzún,Alcalde,Municipalidad de Cochamó,2026-04-28 00:03:28.495428+00
